time,gender,age,presented_gender,erotic,control,stimulus_seeking
18,Female,20,Female,50,45.8333333333333,3
12,Male,20,Female,58.3333333333333,50,4.5
12,Female,19,Female,66.6666666666666,45.8333333333333,2
16,Male,22,Female,58.3333333333333,50,3
16,Female,22,Female,66.6666666666666,33.3333333333333,3
14,Male,20,Female,66.6666666666666,54.1666666666666,3
13,Male,19,Female,50,62.5,3
16,Female,21,Female,41.6666666666666,75,2
12,Male,19,Female,58.3333333333333,45.8333333333333,2.5
12,Female,21,Female,41.6666666666666,62.5,4
13,Female,18,Female,66.6666666666666,41.6666666666666,2
13,Male,22,Female,50,79.1666666666666,1.5
15,Female,23,Female,58.3333333333333,41.6666666666666,2.5
17,Female,20,Female,66.6666666666666,54.1666666666666,3
12,Male,23,Female,58.3333333333333,54.1666666666666,1
12,Male,20,Female,66.6666666666666,54.1666666666666,4
14,Female,21,Female,66.6666666666666,58.3333333333333,3
18,Female,20,Female,41.6666666666666,62.5,3.5
12,Male,25,Female,58.3333333333333,41.6666666666666,3
12,Female,20,Female,58.3333333333333,45.8333333333333,2
12,Female,20,Female,66.6666666666666,54.1666666666666,3
12,Female,22,Female,50,50,2
14,Male,22,Female,58.3333333333333,50,3.5
10,Female,19,Female,25,62.5,2
10,Female,19,Female,41.6666666666666,58.3333333333333,2.5
11,Female,21,Female,33.3333333333333,33.3333333333333,2.5
15,Male,21,Female,33.3333333333333,58.3333333333333,2.5
17,Female,18,Female,33.3333333333333,25,2.5
13,Male,19,Female,50,58.3333333333333,3.5
18,Male,20,Female,50,54.1666666666666,2.5
12,Male,19,Female,58.3333333333333,45.8333333333333,3
15,Male,20,Female,58.3333333333333,45.8333333333333,1
18,Male,19,Female,58.3333333333333,29.1666666666666,4
11,Male,20,Female,50,41.6666666666666,2.5
15,Male,20,Female,66.6666666666666,37.5,2
16,Male,17,Female,33.3333333333333,58.3333333333333,2.5
12,Male,19,Female,83.3333333333333,45.8333333333333,2
13,Male,22,Female,66.6666666666666,58.3333333333333,3
12,Male,22,Female,66.6666666666666,41.6666666666666,3
14,Male,21,Female,41.6666666666666,50,3.5
10,Female,18,Female,66.6666666666666,38.8888888888888,2.5
10,Male,27,Female,55.5555555555555,50,2.5
12,Female,20,Female,61.1111111111111,50,3.5
13,Male,21,Female,61.1111111111111,44.4444444444444,2
13,Female,19,Female,55.5555555555555,50,2.5
11,Female,18,Female,55.5555555555555,72.2222222222222,4
13,Female,19,Female,55.5555555555555,61.1111111111111,2.5
15,Female,19,Female,33.3333333333333,33.3333333333333,2.5
10,Male,20,Female,72.2222222222222,38.8888888888888,3
11,Female,19,Female,44.4444444444444,33.3333333333333,2
12,Female,20,Female,44.4444444444444,55.5555555555555,3
12,Female,18,Female,33.3333333333333,44.4444444444444,1
10,Male,22,Female,61.1111111111111,44.4444444444444,3
10,Female,19,Female,66.6666666666666,50,3
11,Female,18,Female,55.5555555555555,72.2222222222222,2
10,Female,19,Female,55.5555555555555,55.5555555555555,2.5
11,Female,19,Female,33.3333333333333,33.3333333333333,3
11,Male,19,Female,50,50,2
12,Male,18,Female,55.5555555555555,72.2222222222222,3
13,Female,18,Female,38.8888888888888,44.4444444444444,2
10,Female,21,Female,50,55.5555555555555,2.5
10,Male,18,Female,77.7777777777777,55.5555555555555,2
11,Female,19,Female,55.5555555555555,44.4444444444444,2.5
10,Male,18,Female,55.5555555555555,55.5555555555555,2
11,Male,18,Female,61.1111111111111,50,2.5
11,Male,20,Female,50,61.1111111111111,2.5
11,Male,19,Female,55.5555555555555,50,3
12,Male,18,Female,38.8888888888888,44.4444444444444,2
12,Male,20,X,55.5555555555555,38.8888888888888,2.5
13,Female,19,Male,27.7777777777777,50,2
14,Female,18,Male,66.6666666666666,55.5555555555555,3.5
14,Female,18,Male,72.2222222222222,33.3333333333333,3
11,Male,20,Female,66.6666666666666,38.8888888888888,3
12,Male,24,Female,33.3333333333333,44.4444444444444,3
12,Male,18,Male,50,38.8888888888888,2.5
13,Female,18,Male,66.6666666666666,61.1111111111111,4
14,Female,21,Female,55.5555555555555,38.8888888888888,2.5
15,Male,20,Female,44.4444444444444,50,2.5
16,Female,18,Female,44.4444444444444,55.5555555555555,4.5
10,Female,19,Female,44.4444444444444,55.5555555555555,2.5
11,Female,18,Female,61.1111111111111,44.4444444444444,1.5
12,Female,19,Female,44.4444444444444,55.5555555555555,2
12,Female,22,Female,33.3333333333333,38.8888888888888,2.5
13,Female,21,Female,61.1111111111111,55.5555555555555,3
13,Male,21,Female,44.4444444444444,61.1111111111111,1
10,Female,20,Female,55.5555555555555,61.1111111111111,3
10,Female,19,Female,61.1111111111111,38.8888888888888,2.5
11,Female,18,Female,44.4444444444444,33.3333333333333,3
10,Male,20,Female,44.4444444444444,38.8888888888888,2.5
10,Male,18,Female,27.7777777777777,72.2222222222222,2
11,Female,18,Female,44.4444444444444,44.4444444444444,2
11,Female,19,Female,55.5555555555555,44.4444444444444,3.5
12,Female,18,Female,77.7777777777777,66.6666666666666,4
12,Male,25,Female,44.4444444444444,33.3333333333333,3.5
11,Male,20,Female,55.5555555555555,44.4444444444444,2.5
11,Male,19,Female,55.5555555555555,61.1111111111111,2.5
14,Male,21,Female,27.7777777777777,83.3333333333333,2.5
15,Male,18,Female,66.6666666666666,44.4444444444444,1.5
15,Male,18,Female,66.6666666666666,27.7777777777777,3
12,Male,19,Female,38.8888888888888,44.4444444444444,2.5
