gender,age,stimulus_seeking,hour_of_day,condition,depicted_gender,n_trials,hit_rate
Female,19,2.5,10,control,Female,24,58.3333333333333
Female,21,2.5,11,control,Female,24,33.3333333333333
Male,21,2.5,15,control,Female,24,58.3333333333333
Female,18,2.5,17,control,Female,24,25
Male,19,3.5,13,control,Female,24,58.3333333333333
Male,20,2.5,18,control,Female,24,54.1666666666666
Male,19,3,12,control,Female,24,45.8333333333333
Male,20,1,15,control,Female,24,45.8333333333333
Male,19,4,18,control,Female,24,29.1666666666666
Male,20,2.5,11,control,Female,24,41.6666666666666
Male,20,2,15,control,Female,24,37.5
Male,17,2.5,16,control,Female,24,58.3333333333333
Male,19,2,12,control,Female,24,45.8333333333333
Male,22,3,13,control,Female,24,58.3333333333333
Male,22,3,12,control,Female,24,41.6666666666666
Male,21,3.5,14,control,Female,24,50
Female,18,2.5,10,control,Female,24,38.8888888888888
Male,27,2.5,10,control,Female,24,50
Female,20,3.5,12,control,Female,24,50
Male,21,2,13,control,Female,24,44.4444444444444
Female,19,2.5,13,control,Female,24,50
Female,18,4,11,control,Female,24,72.2222222222222
Female,19,2.5,13,control,Female,24,61.1111111111111
Female,19,2.5,15,control,Female,24,33.3333333333333
Male,20,3,10,control,Female,24,38.8888888888888
Female,19,2,11,control,Female,24,33.3333333333333
Female,20,3,12,control,Female,24,55.5555555555555
Female,18,1,12,control,Female,24,44.4444444444444
Male,22,3,10,control,Female,24,44.4444444444444
Female,19,3,10,control,Female,24,50
Female,18,2,11,control,Female,24,72.2222222222222
Female,19,2.5,10,control,Female,24,55.5555555555555
Female,19,3,11,control,Female,24,33.3333333333333
Male,19,2,11,control,Female,24,50
Male,18,3,12,control,Female,24,72.2222222222222
Female,18,2,13,control,Female,24,44.4444444444444
Female,21,2.5,10,control,Female,24,55.5555555555555
Male,18,2,10,control,Female,24,55.5555555555555
Female,19,2.5,11,control,Female,24,44.4444444444444
Male,18,2,10,control,Female,24,55.5555555555555
Male,18,2.5,11,control,Female,24,50
Male,20,2.5,11,control,Female,24,61.1111111111111
Male,19,3,11,control,Female,24,50
Male,18,2,12,control,Female,24,44.4444444444444
Male,20,2.5,12,control,X,24,38.8888888888888
Female,19,2,13,control,Male,24,50
Female,18,3.5,14,control,Male,24,55.5555555555555
Female,18,3,14,control,Male,24,33.3333333333333
Male,20,3,11,control,Female,24,38.8888888888888
Male,24,3,12,control,Female,24,44.4444444444444
Male,18,2.5,12,control,Male,24,38.8888888888888
Female,18,4,13,control,Male,24,61.1111111111111
Female,21,2.5,14,control,Female,24,38.8888888888888
Male,20,2.5,15,control,Female,24,50
Female,18,4.5,16,control,Female,24,55.5555555555555
Female,19,2.5,10,control,Female,24,55.5555555555555
Female,18,1.5,11,control,Female,24,44.4444444444444
Female,19,2,12,control,Female,24,55.5555555555555
Female,22,2.5,12,control,Female,24,38.8888888888888
Female,21,3,13,control,Female,24,55.5555555555555
Male,21,1,13,control,Female,24,61.1111111111111
Female,20,3,10,control,Female,24,61.1111111111111
Female,19,2.5,10,control,Female,24,38.8888888888888
Female,18,3,11,control,Female,24,33.3333333333333
Male,20,2.5,10,control,Female,24,38.8888888888888
Male,18,2,10,control,Female,24,72.2222222222222
Female,18,2,11,control,Female,24,44.4444444444444
Female,19,3.5,11,control,Female,24,44.4444444444444
Female,18,4,12,control,Female,24,66.6666666666666
Male,25,3.5,12,control,Female,24,33.3333333333333
Male,20,2.5,11,control,Female,24,44.4444444444444
Male,19,2.5,11,control,Female,24,61.1111111111111
Male,21,2.5,14,control,Female,24,83.3333333333333
Male,18,1.5,15,control,Female,24,44.4444444444444
Male,18,3,15,control,Female,24,27.7777777777777
Male,19,2.5,12,control,Female,24,44.4444444444444
